10,Press Release: TAMSA Calls for Moratorium due to Testing Errors, 5/17/2015 ,"In his news release today, Thomas Ratliff, Vice Chairman of the State Board of Education, brings to light serious issues of misalignment between the STAAR US History EOC and the state mandated curriculum. Based on these and ongoing concerns with the validity of the test, Texans Advocating for Meaningful Student Assessment (TAMSA) calls for a moratorium on using the STAAR tests, and at the very least, the US History EOC, for high stakes purposes related to student graduation and school accountability.READ TAMSA'S ENTIRE PRESS RELEASEREAD THOMAS RATLIFF'S NEWS RELEASE",http://www.tea.state.tx.us/Communications/Press_Releases/TEA_News_Releases/,http://www.tea.state.tx.us/index4.aspx?id=25769806228,
11,Time is running out: Call to Action, 5/12/2015 ,"Time is running out this session for legislators to make needed changes to student assessments, especially for grades 3-8.&nbsp; Two bills that offer positive changes&nbsp;passed the House almost unanimously but are stalled at the Senate Education Committee:HB 1164:&nbsp; Removes the STAAR writing test and gives districts control over how to assess writing, including adopting a portfolio assessment.&nbsp; Student performance on writing would be reported to parents and TEA and posted on districts' websites.HB 743:&nbsp; Requires that STAAR assessments for grades 3-8 be verified by a third party as valid and reliable and more age-appropriate in length (120 minutess for grades 3-5 and 180 minutes for grades 6-8); also requires a study of TEKS and assessments.For these bills to have a chance of becoming law,&nbsp;they must be heard in committee, voted out of the Senate Education Committee, and sent to the Senate floor for vote.&nbsp;Neither bill is scheduled to be heard in the Senate Education Committee.&nbsp;CALL OR EMAIL TODAY!Let the members of the Senate Education Committee and Lt. Gov. Dan Patrick know that you support HB 1164 and HB 743 and want them to be heard and voted out of the Senate Education Committee.&nbsp;Lt. Governor Dan Patrick,&nbsp;LTGConstituent.Affairs@ltgov.state.tx.us&nbsp;;&nbsp;512-463-00012015 Senate Education Committee MembersChair:&nbsp; Senator Larry Taylor,&nbsp;Larry.Taylor@senate.state.tx.us; 512-463-0111Vice-Chair: Senator Eddie Lucio, Jr.,&nbsp;Eddie.Lucio@senate.state.tx.us; 512-463-0127Senator Paul Bettencourt,&nbsp;Paul.Bettencourt@senate.state.tx.us; 512-463-0107Senator Donna Campbell,&nbsp;Donna.Campbell@senate.state.tx.us; 512-463-0125Senator Sylvia Garcia,&nbsp;Sylvia.Garcia@senate.state.tx.us; 512-463-0106Senator Don Huffines,&nbsp;Don.Huffines@senate.state.tx.us;&nbsp;512-463-0116Senator Lois Kolkhorst,&nbsp;Lois.Kolkhorst@senate.state.tx.us;512-463-0118Senator Jose Rodriguez,&nbsp;Jose.Rodriguez@senate.state.tx.us;&nbsp;512-463-0129Senator Kel Seliger,&nbsp;Kel.Seliger@senate.state.tx.us;&nbsp;512-463-0131Senator Van Taylor,&nbsp;Van.Taylor@senate.state.tx.us;&nbsp;512-463-0108Senator Royce West,&nbsp;&nbsp;Royce.West@senate.state.tx.us;&nbsp;512-463-0123&nbsp;&nbsp;Thank you in advance for your quick work supporting these critical bills.TAMSA",http://tamsatx.org/uploads/3/4/4/6/34460330/sboe-draft_resolution-july-31-2013.pdf,,
12,Legislative Update, 5/2/2015 ,"Key Legislative Bill Update May 1, 2015 TAMSA has followed, supported, and testified on dozens of bills this legislative session.&nbsp; As a practical matter, bills that have not been heard in committee by now have little chance of moving forward.&nbsp; The following bills are the key active bills related to testing effective May 1, 2015. SB 149 Seliger (R) This bill would establish an individual graduation committee (IGC) for each high school student who has met all high school graduation requirements but has failed to perform satisfactorily on EOCs in no more than two courses.&nbsp; When the individual graduation committee is convened, it will evaluate the student&rsquo;s performance in the class, as well as a number of other factors, and can require additional work.&nbsp; However, the student may qualify to graduate with a high school diploma if the judgment of the IGC is unanimous.&nbsp; This bill has passed both the House and the Senate, and Governor Abbott has until May 9, 2015 to sign or veto. Also, if the Governor does not act, the bill goes into effect.  SB 451 Seliger (R) /HB 774 Gonzalez (D)&nbsp;These companion bills would eliminate writing and social studies assessments in grades 3-8.&nbsp; Neither bill has received a hearing in the education committees. SB 1200 &nbsp;Taylor (R)/HB 4028 Huberty (R) - &nbsp;&nbsp;Creation of Next Generation Assessment and Accountability Commission.&nbsp; This commission would be composed of 7 members appointed by the Governor, 4 members appointed by the Lt. Gov, and 4 appointed by the Speaker.&nbsp; The charge is to develop and make recommendations for new systems of student assessment and school accountability.&nbsp; A report to the Legislature would be due Dec 1, 2016.&nbsp; The senate bill was voted out of the Senate on April 30, 2015 and referred to the House. SB 1302 Menendez (D) This bill would have TEA develop student assessments for grades 3-8 only in subjects required by federal law.&nbsp; This bill was heard in the Senate Education Committee on April 28, 2015, but has not yet been referred to the floor for a vote. HB 742 Huberty (R)&nbsp;This bill would eliminate the writing and social studies assessment in 3-8 and eliminate the US History EOC.&nbsp;&nbsp; This bill has been amended only to eliminate 8th grade Social Studies test.&nbsp; It was voted out of House Public Education Committee but not yet set for vote on the floor. HB 743 Huberty (R)&nbsp;This bill covers two issues: testing and the TEKS. The testing portion would call for the STAAR tests in grades 3-8 to be redesigned so that 85% of students in grades 3-5 are be able to complete the test in 2 hours and 85% of students in grades 6-8 can complete the test in 3 hours. The other portion of this bill calls for TEA to review the TEKS and, have the SBOE review the results and provide recommendations to the legislature, based on the review. An Advisory Committee would be formed to oversee the SBOE&rsquo;s report, and this committee would have the authority to conduct additional study if needed. The SBOE is to limit the TEKS to readiness standards for assessment. Supporting standards would be eliminated from the tests. The bill calls for an independent entity to review the revised tests on readiness standards.&nbsp;&nbsp; This bill was voted out of the House May 1, 2015.&nbsp;  HB 1162 VanDeaver (R) This bill would eliminate the requirement that students reach a satisfactory level of achievement on EOC assessments to graduate from high school.&nbsp; The bill specifies that the results of an EOC assessment may not be used as criteria for grade promotion or graduation but rather may be used only for purposes of diagnosing academic strengths and deficiencies of a student and guiding future specific instruction. The bill also provides for students to be exempt from certain EOC assessments for performance in alternative assessments.&nbsp; This bill has not been heard in the Public Education Committee. HB 1164 VanDeaver (R) This bill would replace the writing assessment for grades 3-12 with an English language arts assessment.&nbsp; The bill specifies that writing would still be assessed, but any writing sample submitted by a student as part of an assessment could not be used for accountability, grade promotion, or graduation requirement.&nbsp; The bill allows school districts to choose the method by which to assess students writing skills in grades four and seven and at the end of English I and English II secondary-level courses, including portfolio assessment.&nbsp; This bill was voted out of the House on April 30, 2015, and has been sent to the Senate. HB 2804 Aycock (R) This bill revises the accountability system.&nbsp; It institutes A-F ratings for schools.&nbsp; It also requires that testing count no more than 55% of school accountability.&nbsp; This bill was voted out of the House Education Committee and may be heard on the House floor soon.&nbsp;",,,
13,TAMSA calls for action in response to changes in federal legislation, 4/23/2015 ,This week TAMSA distributed the following letters to Texas legislators to draw their attention to the growing momentum in the US Congress to dramatically shift course concerning mandatory student testing. &nbsp;TAMSA urges our Texas Legislature to take action to avoid losing the opportunity to make significant positive changes to our assessment system during the current legislative session.APRIL 21ST LETTER TO TEXAS LEGISLATORSSUMMARY OF STAAR QUOTES AND STORIES,http://tamsatx.org/uploads/3/4/4/6/34460330/pr_a-f_aug_13_2018.pdf,,
14,Inspiring Voices, 4/20/2015 ,"Parents, educators and students gathered at the Capitol on Saturday for the Save Texas Schools Rally. &nbsp;Among the speakers at the event were TAMSA Board member Theresa Trevino, student Regan Lively, and Representative Gary Van Deaver. &nbsp;Watch and share their inspiring speeches:Theresa Trevino's speech (followed by Regan Lively)https://youtu.be/igxewNLW9_wRegan Lively's speechhttps://youtu.be/0dEuHqmDaToRepresentative Van Deaver's speechhttp://youtu.be/fGqFYqIHgRs",http://www.legis.state.tx.us/tlodocs/83R/schedules/html/C5302014082610001.HTM,,
15,SB 149 Headed to House Floor on April 21st, 4/16/2015 ,"Senate Bill 149 will be up for a vote on the House Floor on Tuesday, April 21st. &nbsp;This bill creates individual graduation committees for students who have failed an EOC to determine if they can be awarded a diploma if they meet certain criteria.Please call your State Representative and ask them to vote YES on SB 149. &nbsp;If you are unsure who your representative is, find them here:&nbsp;http://www.fyi.legis.state.tx.us/Home.aspx",,,
16,National Day of Action April 8, 4/6/2015 ,"Though there is so much going on related to testing here in Texas, it is important to remember that we address testing at the Federal level to truly bring about change. &nbsp;We encourage our members to be a part of this Call To Action organized by FairTest:National Day of Action April 8Overhaul ESEA/NCLB: Less Testing More LearningWhat: Call your U.S. Senators and join the Twitter storm/Thunderclap. If we raise our voices together, we can persuade the Senate Education Committee to reduce testing requirements as it debates renewal of Elementary and Secondary Education Act/No Child Left Behind. &nbsp;When: April 8, 2015Who: Testing Resistance and Reform Spring alliance, convened by FairTest, and including many national and state organizations.&nbsp;Call your Senators: Please mark your calendar, and take a few minutes on April 8 to phone your U.S. senators in Washington, DC. Ask to speak to the staffer who works on education policy. If no one is available, leave your message with the person who answered the phone.&nbsp;Cornyn, John&nbsp;- (R - TX)Class II517 Hart Senate Office Building Washington DC 20510(202) 224-2934Contact:&nbsp;www.cornyn.senate.gov/public/index.cfm?p=ContactFormCruz, Ted&nbsp;- (R - TX)Class I185 Dirksen Senate Office Building Washington DC 20510(202) 224-5922Contact:&nbsp;www.cruz.senate.gov/?p=email_senatorTell your Senators: Here is a model message. Feel free to use it, modify it, or say something entirely different.&nbsp;Hello. I'm [your name], calling from [your town]. I'm calling to ask Senator [name] to support changes to No Child Left Behind that will promote a saner and less intrusive approach to public school testing. Specifically, I urge [him/her] to support a switch to testing once each in elementary, middle and high school, and to remove high-stakes consequences from federally required standardized tests. Both these measures will help address the current over-emphasis on testing at the expense of learning.&nbsp;&nbsp;If you have specific stories about problems with over-testing, please relate them. Personal stories are the most effective.&nbsp;Twitterstorm: On April 8, send a tweet, help build the storm. If you modify the example below, be sure to include #cutfederaltests and the link to getting your Senators&rsquo; numbers. Find Senate twitter handles at https://twitter.com/gov/lists/us-senate/membersCall your Senator https://www.senate.gov Tell them less testing, more learning &nbsp;#cutfederaltests&nbsp;Email: Join the email campaign as well. To send a letter to your Senator, go to:&nbsp;http://fairtest.org/roll-back-standardized-testing-send-letter-congres.&nbsp;",http://educationblog.dallasnews.com/2014/07/the-story-of-tom-ratliffs-daughter-one-data-point-about-texas-testing.html/,,
17,Seliger Files Bill to Address Issue of Students Off Track to Graduate due to EOC exams, 11/10/2014 ,"Senator Kel Seliger (R-Amarillo) filed Senate Bill 149 today, the opening day of bill filing. SB149 is poised to address the issue of the 50,000 students from the Class of 2015 who are off track to graduate due to failing one or more EOCs.&nbsp;The bill provides a variety of options and steps for students who have failed EOCs but have otherwise shown proficiency in key coursework. If approved by a 2/3 vote, it would take effect immediately, and apply to the class of 2015, as well as future classes.READ THE ENTIRE BILL",,,
18,TAMSA Issues Press Release on New Testing RFP, 9/26/2014 ,"TAMSA today issued a press release in response to Texas Education Agency&rsquo;s&nbsp;Request for Proposal for the Texas state education standardized testing contract. &nbsp;In the statement, TAMSA expressed concern with the lack of input and opportunities for public comment into the development of the RFP.&nbsp;""It is very troubling that a contract that will affect 5 million children, and cost the state potentially hundreds of millions of dollars, is developed with no input from the public,"" said Dineen Majcher, President of the Board of Directors of TAMSA. &nbsp;The statement emphasized&nbsp;the need for transparency and benefits of public input in the process.READ THE ENTIRE PRESS RELEASE",http://tamsatx.org/uploads/3/4/4/6/34460330/akim_mtvt.pdf,,
19,House Public Education Committee Sets Hearing Date, 9/25/2014 ,"The House Public Education Committee will have a public hearing on Wednesday October 8th beginning at 1 p.m. in Room E2.036 of the Texas State Capitol.&nbsp; The Committee has heard significant testimony, including from parents (Thank you TAMSA members!) about issues related to STAAR.&nbsp; The purpose of this meeting is to hear specific recommendations for improving on what passed last session in HB 5.&nbsp; TAMSA will be testifying.&nbsp; Anyone desiring to testify should register in the kiosks at the Capitol when you arrive, and members of the public will be given 3 minutes.&nbsp; Thank you for your continued interest and involvement in these issues so important to our children.READ MEETING NOTICE HERE",,,
20,TAMSA Featured in Blog Series, 9/19/2014 ,"TAMSA recently contributed to a 6-part blog series for Raise Your Hand Texas called House Bill 5: Past, Present, and Future.&nbsp; The article describes the story of TAMSA&rsquo;s formation and our efforts last session.&nbsp; These efforts showed how the commitment of what started as a small group of determined people could lead to positive change. &ldquo;TAMSA is working alongside others to ensure that the little bit of common sense that allowed the passage of HB 5 is not smothered in the next legislative session. We haven&rsquo;t forgotten that several bills that would have alleviated some of the STAAR testing in grades 3-8 were vetoed last session, and TAMSA will endeavor to make needed changes to standardized testing in these grades during the coming session. Through TAMSA, we have met remarkable people and learned a lot about standardized testing and resilience. On a more fundamental level, we are grateful that our faith in the power of the few has been renewed.&rdquo;&nbsp;READ THE ENTIRE ARTICLE",http://tamsatx.org/uploads/3/4/4/6/34460330/2015_tamsa_legislative_summary_-_final_june_1_2015..pdf,http://tamsatx.org/uploads/3/4/4/6/34460330/votes_on_key_bills_in_senate_and_house_-_june_1_-2.pdf,
21,Compelling STAAR Writing Testimony From Highland Park Superintendent, 8/31/2014 ,"During the August 26 Senate Education Committee hearing, Dr. Dawson Orr,&nbsp;Superintendent of Highland Park ISD, outlined critical issues with&nbsp;current STAAR writing assessments and offered solutions for&nbsp;consideration. &nbsp;During his testimony, he explained how the current&nbsp;assessment model, which utilizes a 26-line first draft approach, is not&nbsp;capable of providing useful data about the status of students&rsquo; writing&nbsp;ability. &nbsp;He also questioned the correlation between STAAR and other,&nbsp;more established measures of writing, noting that higher percentages of&nbsp;students in Highland Park ISD were considered college-ready based on ACT&nbsp;and AP scores as compared to STAAR writing scores. In particular, in Dr.&nbsp;Orr's very high performing district, 98% of the high school graduates&nbsp;attend college. &nbsp;Yet from the most recent STAAR EOC results, STAAR&nbsp;suggested that approximately one-third of those same students are not&nbsp;college ready. &nbsp;Dr. Orr stated, ""We simply don't have confidence in&nbsp;STAAR as an accurate measure of skill or as a predictor of future&nbsp;success."" Orr suggested that writing is better assessed through a&nbsp;digital portfolio approach and tests, if required, should more closely&nbsp;mirror writing instruction.Read Dr. Orr's Entire Testimony",,,
22,Austin Informational Meetings Set, 8/30/2014 ,"JOIN US THIS THURSDAY IN AUSTIN FOR THE FIRST INFO SHARING SESSION!&nbsp;TAMSA continues to inform and engage parents, business people, and policy makers on the current status and future of meaningful student assessments in Texas. Please come share your ideas and energy with us during one or both of these information sessions and let us know if you want to become more active:Thursday September 4, 6-7:30 p.m.Saturday October 4, 10-11:30 a.m.Both meetings will be held at the Old Quarry Library Meeting Room, 7051 Village Center Drive, AustinThe discussion will include legislative proposals, includingGrades 3-8: within the confines of NCLB, eliminate tests not required by NCLB, make length of tests age appropriate, and eliminate grades 5 and 8 promotion requirements.&nbsp;High school: limit state standardized tests to the three required by federal law: Reading, Math and Science; eliminate graduation requirements associated with EOCs; revise the writing portion of the ELA exam.We look forward to seeing you then! &nbsp;Stay tuned for meetings to be scheduled in other cities!",http://tamsatx.org/uploads/3/4/4/6/34460330/pr_testing_errors_05-17-15.pdf,,
23,SBOE Member Thomas Ratliff Issues Press Release on Testing and NCLB, 7/10/2014 ,"Texas State Board of Education member Thomas Ratliff last week issued a press release concerning testing and the Federal program ""No Child Left Behind."" &nbsp;He writes, ""The 2013 Legislature passed HB 5 to fix many of these [testing] issues for high school students. They also passed a bill to fix this issue for 3rd graders, but it was vetoed, in part, due to concerns about our compliance with a Federal program.Yes, you read that right. Texas cannot make changes to OUR testing program because of a FEDERAL program."" &nbsp;Jeff Weiss of the Dallas Morning News has posted the entire press release on his education blog, found here.TAMSA believes that the federal No Child Level Behind program promotesthe overuse of standardized testing. &nbsp;We support SBOE Board memberThomas Ratliff&rsquo;s call for states to be allowed to set the number oftests they deem appropriate for assessing their students' learning needs.&ldquo;Texas, and other states, should have the right to determine what isthe best level of testing for students. We should not be hamstrung bythe U.S. Department of Education,&rdquo; said Dineen Majcher, president ofTAMSA, Texans Advocating for Meaningful Student Assessment. ""Texasparents and educators know what is best for Texas students - not theU.S. Department of Education.""TAMSA, a nonpartisan, statewide organization of parents, tapped agroundswell of opposition to the plethora of standardized studenttests and successfully advocated for a reduction in state high schooltesting requirements during the last legislative session.&ldquo;We would have seen more reduction for elementary and middle schoolstudents but beneficial legislation was vetoed. This was in partbecause of concern that Texas would lose valuable federal educationdollars tied to NCLB,&rdquo; Majcher said.&ldquo;Take down that wall,&rdquo; she summed up. &ldquo;Let Texas decide what is bestfor Texas.&rdquo;READ JEFF WEISS' EDUCATION BLOG POST WITH RATLIFF'S PRESS RELEASE",,,
,,,,,,
24,Senate Education Committee Sets Hearing Date, 7/2/2014 ,"The Senate Education Committee will meet Tuesday, August 26, 2014 at 10:00AM in Capital room E1.028. &nbsp;Members will discuss topics pertaining to education related interim charges, including an examination of STAAR writing scores and an update on the discussion of STAAR EOC passing rates for the Class of 2015. &nbsp;The public is welcome.READ MEETING NOTICE",,,
25,Spring 2014 STARR Results,6/17/14,"Interested to see your campus results for the STAAR exams? You can access STAAR results by region, district and/or campus using this resource page: Pearson Portal. Results from the 2012, 2013 and 2014 test administrations are available. Want to know the answer to the top five education questions asked in 2013? The Education Commission of the States published this insightful document: http://dev.ecs.org/docs/Top5QA.pdf.",https://tx.pearsonaccess.com/tclp/portal/tclp.portal?_nfpb=true&_pageLabel=pa2_analytical_reporting_page,http://dev.ecs.org/docs/Top5QA.pdf,
26,TAMSA Update,6/5/14,"TAMSA sent out the following email message to our members: ""This spring, both the Texas House of Representatives and the Senate held Committee hearings concerning education and testing. TAMSA members attended and testified at both hearings on the importance of continued improvement to the state standardized testing program. While high school texsting was discussed, there is energy to review testing for grades 3-8 and make imporvements to the system."" ",http://campaign.r20.constantcontact.com/render?ca=78b7a603-ef9f-4410-b035-48d1bb44edd3&c=70a1e8f0-7c94-11e3-8219-d4ae52843dc7&ch=71441c60-7c94-11e3-8292-d4ae52843dc7,,
27,A New Vision, 4/24/2014 ,"Hudson ISD Superintendent, Mary Ann Whiteker, offers her district's approach to state-mandated standardized testing, a ""New Vision."" Her letter to parents and the community begins with following paragraph:""Two years ago, Hudson ISD began a new journey with a focus on&nbsp; quality learning rather than a test driven system that is demoralizing to students and staff. Over the course of the next several weeks, students and parents will be receiving the results from these exams. The results should be considered benchmarks, not the end-all to learning for the year. These exams do not reflect the quality of teaching or learning in our classrooms. Our students are more than one test. Their achievements must be determined by a multitude of accomplishments throughout the year, celebrating academic growth as well as mastery of skills, co-curricular and extra-curricular accolades, experiencing new opportunities/challenges."" Follow the link below to read her entire letter posted earlier this week, as well as her original letter from last year. We encourage this approach to be shared throughout the state.HISD Has Embraced a ""New Vision"" for the District.",,,
